,idhogar,Id,Target
0,21eb7fcc1,ID_279628684,4
1,0e5d7a658,ID_f29eb3ddd,4
2,2c7317ea8,ID_68de51c94,4
3,2b58d945f,ID_d671db89c,4
4,2b58d945f,ID_d56d6f5f5,4
5,2b58d945f,ID_ec05b1a7b,4
6,2b58d945f,ID_e9e0c1100,4
7,d6dae86b7,ID_3e04e571e,4
8,d6dae86b7,ID_1284f8aad,4
9,d6dae86b7,ID_51f52fdd2,4
10,d6dae86b7,ID_db44f5c59,4
11,bb2094100,ID_de822510c,4
12,bb2094100,ID_d94071d7c,4
13,c51f9c774,ID_064b57869,4
14,c51f9c774,ID_5c837d8a4,4
15,6893e65ca,ID_0a39e419e,4
16,6893e65ca,ID_4ff51f90c,4
17,6893e65ca,ID_336c51386,4
18,6893e65ca,ID_c51938edf,4
19,d29058053,ID_35b66f7c6,4
20,d29058053,ID_74a2bc523,4
21,ec0e8edce,ID_15d393ce7,4
22,ec0e8edce,ID_a0bff0ba7,4
23,3e16fab89,ID_848b0fdf1,4
24,3e16fab89,ID_298d857e5,4
25,3e16fab89,ID_1d5bf8ddf,4
26,1e84a2ac8,ID_e5cdba865,4
27,759df0194,ID_e18530139,4
28,759df0194,ID_cba035c44,4
29,759df0194,ID_b6c1c7e65,4
30,f2fcf00fd,ID_96b1fbc81,4
31,f2fcf00fd,ID_422226730,4
32,cb6bb28dd,ID_e24d9c3c9,4
33,cb6bb28dd,ID_be1c0c929,4
34,cb6bb28dd,ID_18ffaadc6,4
35,cb6bb28dd,ID_beb36ce09,4
36,cb6bb28dd,ID_57b05a403,4
37,cbf24a06c,ID_01f1e94b3,4
38,cbf24a06c,ID_0f01e18e9,4
39,cbf24a06c,ID_e73a7a162,4
40,922a1f87a,ID_488b8ac27,4
41,922a1f87a,ID_1f68e9b45,4
42,a57a1f2f4,ID_e3869ade2,4
43,a57a1f2f4,ID_451a7e35a,4
44,a57a1f2f4,ID_cf3c3d7ec,4
45,9b084b23d,ID_feda408ee,4
46,9b084b23d,ID_4dd2eaeba,4
47,6ddd55b3e,ID_34d68201f,4
48,6ddd55b3e,ID_839160e1d,4
49,6ddd55b3e,ID_340865cda,4
50,652a7ffa0,ID_eb1d477b3,2
51,652a7ffa0,ID_1edc6734e,2
52,652a7ffa0,ID_68cdfd374,2
53,652a7ffa0,ID_be0fdb30f,2
54,b9d64d752,ID_88d6dc9be,4
55,b9d64d752,ID_e2d67d5bb,4
56,b9d64d752,ID_39794350a,4
57,b9d64d752,ID_91fc6ef60,4
58,09a26c158,ID_a0fb0a5c4,2
59,e2f9717d3,ID_b00eafd98,4
60,e2f9717d3,ID_332252b98,4
61,65d20b573,ID_1db0ed392,4
62,65d20b573,ID_c70e4a951,4
63,65d20b573,ID_f1a8c2996,4
64,d9281c805,ID_6e9d356d7,2
65,5f7699c70,ID_5a72ab074,4
66,5f7699c70,ID_18e808ee5,4
67,5f7699c70,ID_bd34e0c6a,4
68,5f7699c70,ID_b8802d92d,4
69,5f7699c70,ID_5cba5f4d4,4
70,a0a822586,ID_c5bfe390e,4
71,a0a822586,ID_f70aba49f,4
72,a0a822586,ID_8d1510a53,4
73,a0a822586,ID_c52da52d4,4
74,b2ceb3e5c,ID_4f75bf2e4,4
75,b2ceb3e5c,ID_dd93e20ec,4
76,b2ceb3e5c,ID_c8f69febe,4
77,69bfa2895,ID_32e57e6be,4
78,69bfa2895,ID_67204372d,4
79,69bfa2895,ID_c946fea9c,4
80,bcc196e5a,ID_202c0a339,4
81,bcc196e5a,ID_0f688cf40,4
82,bcc196e5a,ID_d7af7b303,4
83,fca2c4361,ID_c38cb27c5,4
84,fca2c4361,ID_7855a5880,4
85,fca2c4361,ID_6aee5943e,4
86,2b1a06ddc,ID_48c10ba80,4
87,2b1a06ddc,ID_1a283d51b,4
88,caa343c15,ID_b20ab1829,4
89,caa343c15,ID_aa4870ce2,4
90,caa343c15,ID_b2c2feb03,4
91,caa343c15,ID_f1b296d83,4
92,0b7ee52ff,ID_d573a95c2,4
93,14aeb8605,ID_b2e903868,4
94,14aeb8605,ID_084179406,4
95,14aeb8605,ID_3f2e2fa81,4
96,14aeb8605,ID_c3ae81c15,4
97,14aeb8605,ID_b31fa267f,4
98,07a5de1ba,ID_afbc25a99,4
99,07a5de1ba,ID_cca2d38b1,4
100,07a5de1ba,ID_f3583bbf7,4
101,5e72b4b07,ID_072c16126,4
102,5e72b4b07,ID_b3dd09090,4
103,5e72b4b07,ID_121a92c4e,4
104,288b0f0fa,ID_4cf6a7097,4
105,288b0f0fa,ID_12e339d76,4
106,288b0f0fa,ID_c9fa0b1a8,4
107,ed19e63e8,ID_ccc920272,4
108,bb809b379,ID_cadf08b53,4
109,f954c1672,ID_5be3504eb,4
110,f954c1672,ID_11c2487c3,4
111,c179fa326,ID_642ae6a8d,4
112,c179fa326,ID_d483e2cc3,4
113,c179fa326,ID_8881f94cf,4
114,c179fa326,ID_45986680d,4
115,c179fa326,ID_275651c54,4
116,c179fa326,ID_fc8d5b445,4
117,ac94e73e6,ID_d189a7af6,4
118,ac94e73e6,ID_530183555,4
119,ac94e73e6,ID_2a67a7630,4
120,ac94e73e6,ID_60eaa56fd,4
121,d9e9b591a,ID_fdf18bbee,2
122,d9e9b591a,ID_cba836ed8,2
123,d9e9b591a,ID_6031cb88d,2
124,d9e9b591a,ID_0bc817cb2,2
125,d9e9b591a,ID_1cfb76926,2
126,52123171a,ID_85a393415,4
127,52123171a,ID_5beff72a2,4
128,52123171a,ID_137c34443,4
129,52123171a,ID_2ab9e1c17,4
130,81cfc3f8c,ID_651377e3e,4
131,81cfc3f8c,ID_8296b0e0e,4
132,81cfc3f8c,ID_22d324777,4
133,81cfc3f8c,ID_272bdf973,4
134,2d9be16e2,ID_9129298f7,4
135,2d9be16e2,ID_fc85fdf77,4
136,d8df976c0,ID_643247b47,4
137,d8df976c0,ID_d0d07c405,4
138,d8df976c0,ID_39a4bc834,4
139,d8df976c0,ID_28fd4d90b,4
140,51f90290c,ID_1440088c1,3
141,51f90290c,ID_39f0d4e07,3
142,a0dfd005d,ID_f46b0fb68,4
143,a0dfd005d,ID_46b298da9,4
144,63f11d6ea,ID_912ff9986,4
145,63f11d6ea,ID_3f1c6eec1,4
146,63f11d6ea,ID_44bb758b6,4
147,63f11d6ea,ID_fa7b8e81a,4
148,63f11d6ea,ID_bc8ba77e7,4
149,63f11d6ea,ID_fe1ee7296,4
150,63f11d6ea,ID_715f2450c,4
151,63f11d6ea,ID_cfbef9733,4
152,63f11d6ea,ID_f3b80aa49,4
153,63f11d6ea,ID_5523605f1,4
154,347058ce6,ID_c2ff78a35,1
155,347058ce6,ID_bfaf299ff,1
156,347058ce6,ID_4d206a96f,1
157,347058ce6,ID_d1c8bde78,1
158,347058ce6,ID_0d0f5ef53,1
159,28ec0c747,ID_4dcf8161f,4
160,28ec0c747,ID_1339c6b89,4
161,28ec0c747,ID_aaa431c01,4
162,28ec0c747,ID_dcb22500e,4
163,28ec0c747,ID_7e2ec5c5f,4
164,28ec0c747,ID_cb94bd42b,4
165,28ec0c747,ID_c6ed796db,4
166,71bec40bc,ID_f435c5e46,2
167,71bec40bc,ID_a51262dae,2
168,71bec40bc,ID_7e6d23b28,2
169,71bec40bc,ID_4c409e16e,2
170,71bec40bc,ID_0704f4d9f,2
171,71bec40bc,ID_b0adca84e,2
172,71bec40bc,ID_0e4c312aa,2
173,4b301d9b2,ID_dc773a4df,3
174,4b301d9b2,ID_2de72feaf,3
175,4b301d9b2,ID_5d8a796f5,3
176,4b301d9b2,ID_be4afa52d,3
177,4b301d9b2,ID_8854aa99d,3
178,4b301d9b2,ID_bee4053e0,3
179,b5aab6c5e,ID_78d27ecd9,4
180,b5aab6c5e,ID_77e2d94b3,4
181,b5aab6c5e,ID_334a12687,4
182,b5aab6c5e,ID_e477bac00,4
183,a4baf0b14,ID_482178fb2,4
184,f01ee929b,ID_814ac6e34,2
185,f01ee929b,ID_1a23dbdc4,2
186,322cefd2f,ID_6274a9721,2
187,322cefd2f,ID_fb96aba6c,2
188,322cefd2f,ID_1007ee397,2
189,322cefd2f,ID_2324f6d54,2
190,322cefd2f,ID_2688cd587,2
191,322cefd2f,ID_7c366bb18,2
192,322cefd2f,ID_6a9db453e,2
193,322cefd2f,ID_44031e6d2,2
194,322cefd2f,ID_7bd0b8524,2
195,f1e36c6f8,ID_21b09d0df,2
196,f1e36c6f8,ID_86d18e12c,2
197,f1e36c6f8,ID_c6d68ee69,2
198,f1e36c6f8,ID_2e6116e4d,2
199,e2b6ecbba,ID_19a964806,1
200,e2b6ecbba,ID_51c2942c5,1
201,e2b6ecbba,ID_bf09cd49a,1
202,9c2388963,ID_e5df547aa,4
203,9d5fdd09f,ID_a5078142a,4
204,9d5fdd09f,ID_edff88e98,4
